"Region / Grouping","Units","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Pakistan","Gasoline Consumption kb/d","1451.91","1455.09","1478.16","1523.72","1569.41","1671.90","1750.22","1812.44","1929.02","2079.85","2198.31","2299.74","2437.34","2601.16","2688.01","2846.16","3015.17","3119.55","3151.64","3255.71","3317.14","3395.90","3522.37","3648.67","3864.38","3930.93","3982.40","4129.21","4261.07","4387.86","4692.01","4871.10","5137.01","5518.22","5629.73","6177.65","6397.30","6609.58","6875.80","7122.35","6573.35","7004.06","6989.70","7414.31","7590.93"
"Pakistan","Diesel/gasoil Consumption kb/d","2099.12","2134.73","2159.73","2268.85","2344.04","2478.58","2603.52","2797.81","3082.21","3329.73","3529.24","3759.27","4031.05","4353.33","4501.04","4812.08","5159.81","5351.79","5158.11","5451.40","5611.30","5750.65","5922.82","6120.66","6614.21","6758.74","6846.60","7095.46","7261.79","7360.56","7774.53","8125.10","8537.87","8637.19","8658.15","8869.02","8844.27","9098.97","9216.12","9052.59","8279.63","8692.75","9217.73","9687.05","9637.89"
