date,nightlights_avg_rad_mean
2019-01-01,12.067871642283333
2019-02-01,13.44725461148246
2019-03-01,12.33109570343744
2019-04-01,13.41135196836974
2019-05-01,12.20889660562933
2019-06-01,11.294422899233451
2019-07-01,8.951592164610068
2019-08-01,10.484431740164856
2019-09-01,9.681925749234388
2019-10-01,10.867513685049184
2019-11-01,13.39021034774795
2019-12-01,10.5497891092705
2020-01-01,12.354839840036504
2020-02-01,12.840995817245071
2020-03-01,11.406948887333241
2020-04-01,10.734922548925063
2020-05-01,10.987649777228036
2020-06-01,8.549992267772172
2020-07-01,9.811635153389666
2020-08-01,10.736639032814292
2020-09-01,9.82199033317878
2020-10-01,13.41583322381978
2020-11-01,12.029916514179488
2020-12-01,11.393693503664915
2021-01-01,6.602695164898673
2021-02-01,11.321051345005964
2021-03-01,12.657558480481164
2021-04-01,12.956745161299304
2021-05-01,11.01573740339884
2021-06-01,10.873612997296085
2021-07-01,12.399423927465941
2021-08-01,11.563682199989845
2021-09-01,10.842142685460038
2021-10-01,12.990845735585056
2021-11-01,13.015807123757412
2021-12-01,13.882314565331127
2022-01-01,11.258861391373685
2022-02-01,13.358350166794532
2022-03-01,15.948154283435835
2022-04-01,14.471794560471247
2022-05-01,13.090657459896105
2022-06-01,11.89241247719769
2022-07-01,12.794653201429561
2022-08-01,9.997044205416085
2022-09-01,11.47070687372885
2022-10-01,13.371247646920954
2022-11-01,14.20013425973607
2022-12-01,10.682173381974987
2023-01-01,11.416686586747213
2023-02-01,14.72148903276329
2023-03-01,14.167210813175927
2023-04-01,15.719653234125612
2023-05-01,13.696445914532955
2023-06-01,12.356121657381427
2023-07-01,12.089949756564575
2023-08-01,11.799427261486102
2023-09-01,12.007925766480408
2023-10-01,13.094186539813181
2023-11-01,13.001491562424826
2023-12-01,13.911876630199986
