date,pm25_mean,nightlights_avg_rad_mean,ndvi_mean,wind_dir_deg_mean,wind_speed_mean,fire_detections_count
2019-12-01,257.61245495495496,10.5497891092705,0.3282799198329468,306.0094544301455,0.7304350763083803,0.0
2020-01-01,204.37078296703297,12.354839840036504,0.38791311876011675,313.4538000409416,0.8636445923212253,4844.399963378906
2020-02-01,152.6835642135642,12.840995817245071,0.4295866477828415,305.4516054028708,0.723570188823994,0.0
2020-03-01,69.95310395314787,11.406948887333241,0.44082959262200283,249.6443579582541,0.5350297069013686,0.0
2020-04-01,45.064929775280895,10.734922548925063,0.38127370062313615,279.47723497547463,1.0945277378313956,2760.327892348346
2020-05-01,45.4177802690583,10.987649777228036,0.3040734441007694,244.29466377935327,0.7147519523448971,12159.917601102943
2020-06-01,53.81049226441632,8.549992267772172,0.305433499419615,164.1694389597586,0.8751357256443144,0.0
2020-07-01,58.37616783216783,9.811635153389666,0.38342947984352826,148.56496072283983,1.342882001083506,0.0
2020-08-01,37.452820512820516,10.736639032814292,0.46568511881652025,155.0885746467136,1.8423627436541936,0.0
2020-09-01,64.82923512747875,9.82199033317878,0.3700052154847244,264.17953713816775,0.17632941858667442,2905.1998901367188
2020-10-01,124.31400273224044,13.41583322381978,0.2854403263021864,304.81074250450195,1.042727708591369,19525.629215734145
2020-11-01,177.16875177304965,12.029916514179488,0.3360960042973944,303.85732487889857,1.0668222259911142,6805.300085329542
2020-12-01,210.96759566787003,11.393693503664915,0.37574411481270203,308.67821677243285,1.18077718879738,0.0
2021-01-01,160.10082554517135,6.602695164898673,0.34582558409615716,324.6764262543719,0.5680717377818727,0.0
2021-02-01,141.9866214057508,11.321051345005964,0.4008191342330968,273.17337614579907,0.31579045372013154,0.0
2021-03-01,64.58526915113872,12.657558480481164,0.3750889502498173,277.71644956666574,1.395681678640594,0.0
2021-04-01,50.08130657557643,12.956745161299304,0.3191618833592207,273.0411856390908,1.5836338991026904,0.0
2021-05-01,54.11265588914549,11.01573740339884,0.28938116657271234,226.36458848509812,0.5616906208836054,8666.616537176395
2021-06-01,27.71815094339623,10.873612997296085,0.271590183613841,76.58443848867375,0.45177505004842283,0.0
2021-07-01,31.172280701754385,12.399423927465941,0.37169924064201015,148.35444091708203,1.5435693016133207,0.0
2021-08-01,30.07497267759563,11.563682199989845,0.3913494717405653,133.87916429527365,1.204650268732117,0.0
2021-09-01,31.842748815165876,10.842142685460038,0.4148817214434438,162.8841399921993,1.0981555076977163,0.0
2021-10-01,92.6769054054054,12.990845735585056,0.33335298818415415,269.0023826720992,0.22859239046847216,19546.00942370844
2021-11-01,247.55243156199677,13.015807123757412,0.2782285341487215,282.5475190041669,0.7906732544766781,9233.971821025774
2021-12-01,284.26915430267064,13.882314565331127,0.31463580338744385,295.3372398024443,0.8271393923261305,0.0
2022-01-01,192.9123088235294,11.258861391373685,0.37006956492876686,323.7728454849375,0.31153016111552867,1807.2000732421875
2022-02-01,147.9436842105263,13.358350166794532,0.421419788201434,273.84202678917876,0.6865474264547778,3597.0
2022-03-01,131.42597773138482,15.948154283435835,0.4199402679008208,298.4723763409353,1.2070089383601263,2294.5999145507812
2022-04-01,104.81251847640705,14.471794560471247,0.2982341192229078,287.92853462888115,0.6851212044123995,2409.1271424536612
2022-05-01,76.14348521183054,13.090657459896105,0.2489925904808887,166.8031216779541,0.8928150006270371,19569.575854133156
2022-06-01,76.55622489959839,11.89241247719769,0.30604168679350713,35.829285835211024,0.5881798266318684,0.0
2022-07-01,65.90315106580167,12.794653201429561,0.45026185064555097,159.33778356268925,1.5099027478725144,0.0
2022-08-01,58.63162924032489,9.997044205416085,0.44178549756779156,114.29869887939327,0.6600874701571214,0.0
2022-09-01,82.36807817589576,11.47070687372885,0.37598584615354047,142.59986433608168,0.8102920412906928,0.0
2022-10-01,151.52912357103975,13.371247646920954,0.3008637208655527,227.32477985216994,0.13081015834309806,797.5518614525888
2022-11-01,237.61670644391407,14.20013425973607,0.30407086488627244,288.14987310836136,1.1387448319952729,1834.0799560546875
2022-12-01,256.1101602747567,10.682173381974987,0.32429333487157197,318.2543354002214,1.2936995025843177,0.0
2023-01-01,192.29674727932286,11.416686586747213,0.3565492956458387,321.94752068720925,0.9852481970203295,9402.609924316406
2023-02-01,168.1729179331307,14.72148903276329,0.3636053050494342,289.69402968207635,1.4403869915322123,0.0
2023-03-01,100.25345704722945,14.167210813175927,0.3940994914743241,264.74244789466786,0.6171546717843536,9385.0
2023-04-01,67.29662063953488,15.719653234125612,0.324964532020478,293.7562945768606,0.5028537051235256,3467.3985663918884
2023-05-01,68.22932963109878,13.696445914532955,0.29024681914575307,227.83948266400952,0.738142520074243,3281.139514160156
2023-06-01,60.18994241842611,12.356121657381427,0.358799945086879,116.68431808385041,0.77784074231535,0.0
2023-07-01,48.94117400419287,12.089949756564575,0.40963060436263665,169.7424417753764,1.3690059245400363,0.0
2023-08-01,52.154934895833335,11.799427261486102,0.39114633359468914,103.01013674637166,0.9154759731886863,0.0
2023-09-01,62.57137275985663,12.007925766480408,0.4031600066482895,116.11545711476671,0.35421740551199565,4133.269927978516
2023-10-01,131.4318869644485,13.094186539813181,0.3772583869324108,282.46263542755105,0.4039742276746311,0.0
2023-11-01,254.45803126039243,13.001491562424826,0.34787674622733245,293.30703585528016,0.8495606409725782,3081.0000610351562
2023-12-01,206.21107203907204,13.911876630199986,0.33600952764491,312.133880220073,0.8775805062762106,0.0
2024-01-01,164.82656836461126,,,,,
2024-02-01,126.79222387320456,,,,,
2024-03-01,87.30681465341141,,,,,
